id,question,answer,recommendation,generator,plausible,answered
realmedqa_16,- Should multiple imaging modalities be used together or separately to assess metastases in the bone for advanced breast cancer?,Assess the presence and extent of metastases in the bones of the axial skeleton using bone windows on a CT scan or MRI or bone scintigraphy. [2009],Assess the presence and extent of metastases in the bones of the axial skeleton using bone windows on a CT scan or MRI or bone scintigraphy. [2009],LLM,Completely,Partially
realmedqa_17,"- what additional medication is recommended for pain relief in hip fractures, other than paracetamol?",Offer additional opioids if paracetamol alone does not provide sufficient preoperative pain relief. [2011],Offer additional opioids if paracetamol alone does not provide sufficient preoperative pain relief. [2011],LLM,Completely,Completely
realmedqa_18,What are the common signs and behaviours in persons with minor learning difficulties that indicate borderline personality disorder?,"When a person with a mild learning disability has a diagnosis of borderline personality disorder, they should have access to the same services as other people with borderline personality disorder.","When a person with a mild learning disability has a diagnosis of borderline personality disorder, they should have access to the same services as other people with borderline personality disorder.",LLM,Completely,Not at all
realmedqa_19,What are the best practises for developing and maintaining collaborative working relationships between mental health and drug abuse services?,"Consider seeking specialist advice and initiate joint working arrangements with specialist substance misuse services if the person's substance misuse:is difficult to control and/orleads to significant impairment of functioning, family breakdown or significant social disruption such as homelessness.","Consider seeking specialist advice and initiate joint working arrangements with specialist substance misuse services if the person's substance misuse:is difficult to control and/orleads to significant impairment of functioning, family breakdown or significant social disruption such as homelessness.",LLM,Not at all,Not at all
realmedqa_20,What are the warning signs and symptoms of a medication allergy?,"When a person presents with suspected drug allergy, document their reaction in a structured approach that includes:the generic and proprietary name of the drug or drugs suspected to have caused the reaction, including the strength and formulation","When a person presents with suspected drug allergy, document their reaction in a structured approach that includes:the generic and proprietary name of the drug or drugs suspected to have caused the reaction, including the strength and formulation",LLM,Completely,Partially
realmedqa_21,Should CIWA-Ar be used on its own or alongside local protocols?,"Follow locally specified protocols to assess and monitor patients in acute alcohol withdrawal. Consider using a tool (such as the Clinical Institute Withdrawal Assessment – Alcohol, revised [CIWA–Ar] scale) as an adjunct to clinical judgement. [2010]","Follow locally specified protocols to assess and monitor patients in acute alcohol withdrawal. Consider using a tool (such as the Clinical Institute Withdrawal Assessment – Alcohol, revised [CIWA–Ar] scale) as an adjunct to clinical judgement. [2010]",LLM,Completely,Completely
realmedqa_22,What role does empathy have in creating a hopeful and trustworthy connection with patients suffering from BPD?,"When working with people with borderline personality disorder: explore treatment options in an atmosphere of hope and optimism, explaining that recovery is possible and attainable build a trusting relationship, work in an open, engaging and non-judgemental manner, and be consistent and reliablebear in mind when providing services that many people will have experienced rejection, abuse and trauma, and encountered stigma often associated with self-harm and borderline personality disorder.","When working with people with borderline personality disorder: explore treatment options in an atmosphere of hope and optimism, explaining that recovery is possible and attainable build a trusting relationship, work in an open, engaging and non-judgemental manner, and be consistent and reliablebear in mind when providing services that many people will have experienced rejection, abuse and trauma, and encountered stigma often associated with self-harm and borderline personality disorder.",LLM,Not at all,Partially
realmedqa_23,"4) What are the consequences of having a pressure ulcer, such as the chance of acquiring more pressure ulcers in the future?","Offer timely, tailored information to people who have been assessed as being at high risk of developing a pressure ulcer, and their family or carers. The information should be delivered by a trained or experienced healthcare professional and include:the causes of a pressure ulcer the early signs of a pressure ulcerways to prevent a pressure ulcerthe implications of having a pressure ulcer (for example, for general health, treatment options and the risk of developing pressure ulcers in the future).Demonstrate techniques and equipment used to prevent a pressure ulcer.","Offer timely, tailored information to people who have been assessed as being at high risk of developing a pressure ulcer, and their family or carers. The information should be delivered by a trained or experienced healthcare professional and include:the causes of a pressure ulcer the early signs of a pressure ulcerways to prevent a pressure ulcerthe implications of having a pressure ulcer (for example, for general health, treatment options and the risk of developing pressure ulcers in the future).Demonstrate techniques and equipment used to prevent a pressure ulcer.",LLM,Not at all,Not at all
realmedqa_24,How should I titrate up beta-blockers in heart failure?,"Introduce beta-blockers in a 'start low, go slow' manner. Assess heart rate and clinical status after each titration. Measure blood pressure before and after each dose increment of a beta‑blocker. [2010, amended 2018]","Introduce beta-blockers in a 'start low, go slow' manner. Assess heart rate and clinical status after each titration. Measure blood pressure before and after each dose increment of a beta‑blocker. [2010, amended 2018]",LLM,Completely,Completely
realmedqa_25,3) Is a high-quality foam mattress or overlay required for this patient?,"Discuss with children and young people at high risk of developing a heel pressure ulcer and their parents and carers, where appropriate, a strategy to offload heel pressure as part of their individualised care plan.","Discuss with children and young people at high risk of developing a heel pressure ulcer and their parents and carers, where appropriate, a strategy to offload heel pressure as part of their individualised care plan.",LLM,Not at all,Not at all
realmedqa_26,What is an alternative to PPI treatment for severe oesophagitis?,"If initial treatment for healing severe oesophagitis fails, consider a high dose of the initial PPI, switching to another full-dose PPI (see table 2) or switching to another high-dose PPI (see table 2 in appendix A), taking into account the person's preference and clinical circumstances (for example, tolerability of the initial PPI, underlying health conditions and possible interactions with other drugs). [new 2014]","If initial treatment for healing severe oesophagitis fails, consider a high dose of the initial PPI, switching to another full-dose PPI (see table 2) or switching to another high-dose PPI (see table 2 in appendix A), taking into account the person's preference and clinical circumstances (for example, tolerability of the initial PPI, underlying health conditions and possible interactions with other drugs). [new 2014]",LLM,Completely,Not at all
realmedqa_27,4) Is there any contraindications or hazards to providing this intervention to the patient?,"For adults whose symptoms of social anxiety disorder have only partially responded to individual CBT after an adequate course of treatment, consider a pharmacological intervention (see","For adults whose symptoms of social anxiety disorder have only partially responded to individual CBT after an adequate course of treatment, consider a pharmacological intervention (see",LLM,Not at all,Not at all
realmedqa_28,"4) When designing risk management strategies, how should changes in personal connections, particularly the therapeutic relationship, be considered?","When managing the risks posed by people with borderline personality disorder in a community mental health service, risks should be managed by the whole multidisciplinary team with good supervision arrangements, especially for less experienced team members. Be particularly cautious when:evaluating risk if the person is not well known to the team there have been frequent suicidal crises.","When managing the risks posed by people with borderline personality disorder in a community mental health service, risks should be managed by the whole multidisciplinary team with good supervision arrangements, especially for less experienced team members. Be particularly cautious when:evaluating risk if the person is not well known to the team there have been frequent suicidal crises.",LLM,Not at all,Partially
realmedqa_29,How does a drug allergy differ from other types of adverse drug reactions?,Be aware that the reaction is more likely to be caused by drug allergy if it occurred during or after use of the drug and: the drug is known to cause that type of reaction orthe person has previously had a similar reaction to that drug or drug class.,Be aware that the reaction is more likely to be caused by drug allergy if it occurred during or after use of the drug and: the drug is known to cause that type of reaction orthe person has previously had a similar reaction to that drug or drug class.,LLM,Not at all,Completely
realmedqa_30,1) Does the patient have suspected neutropenic sepsis?,"Do not offer an aminoglycoside, either as monotherapy or in dual therapy, for the initial empiric treatment of suspected neutropenic sepsis unless there are patient-specific or local microbiological indications.Empiric glycopeptide antibiotics in patients with central venous access devices","Do not offer an aminoglycoside, either as monotherapy or in dual therapy, for the initial empiric treatment of suspected neutropenic sepsis unless there are patient-specific or local microbiological indications.Empiric glycopeptide antibiotics in patients with central venous access devices",LLM,Not at all,Not at all
realmedqa_31,How frequently should the kid or adolescent's management plan be reviewed?,"If adverse effects (such as drowsiness) occur with oral diazepam or oral baclofen, think about reducing the dose or stopping treatment.","If adverse effects (such as drowsiness) occur with oral diazepam or oral baclofen, think about reducing the dose or stopping treatment.",LLM,Partially,Not at all
realmedqa_32,"What exactly is mast cell tryptase, and why is it crucial to assess it in suspected drug allergy cases?",Ensure that tryptase sampling tubes are included in emergency anaphylaxis kits.Measuring serum specific immunoglobulin E,Ensure that tryptase sampling tubes are included in emergency anaphylaxis kits.Measuring serum specific immunoglobulin E,LLM,Completely,Not at all
realmedqa_33,How may the amount of diazepam or baclofen taken orally be reduced?,"If adverse effects (such as drowsiness) occur with oral diazepam or oral baclofen, think about reducing the dose or stopping treatment.","If adverse effects (such as drowsiness) occur with oral diazepam or oral baclofen, think about reducing the dose or stopping treatment.",LLM,Completely,Not at all
realmedqa_34,3) How can the CPA help healthcare professionals and service consumers communicate better?,"Teams should use the CPA when people with borderline personality disorder are routinely or frequently in contact with more than one secondary care service. It is particularly important if there are communication difficulties between the service user and healthcare professionals, or between healthcare professionals.","Teams should use the CPA when people with borderline personality disorder are routinely or frequently in contact with more than one secondary care service. It is particularly important if there are communication difficulties between the service user and healthcare professionals, or between healthcare professionals.",LLM,Not at all,Partially
realmedqa_35,5) How frequently will the patient's risk of acquiring pressure ulcers be assessed?,"Discuss with children and young people at high risk of developing a heel pressure ulcer and their parents and carers, where appropriate, a strategy to offload heel pressure as part of their individualised care plan.","Discuss with children and young people at high risk of developing a heel pressure ulcer and their parents and carers, where appropriate, a strategy to offload heel pressure as part of their individualised care plan.",LLM,Completely,Not at all
realmedqa_36,What can be used for patients with acute alcohol withdrawal?,Management of alcohol withdrawal seizures,Management of alcohol withdrawal seizures,LLM,Not at all,Not at all
realmedqa_37,How should the skin examination be performed in individuals who are at high risk of getting a pressure ulcer?,"The assessment should take into account any pain or discomfort reported by the patient and the skin should be checked for:skin integrity in areas of pressurecolour changes or discolorationHealthcare professionals should be aware that non-blanchable erythema may present as colour changes or discolouration, particularly in darker skin tones or types.variations in heat, firmness and moisture (for example, because of incontinence, oedema, dry or inflamed skin).","The assessment should take into account any pain or discomfort reported by the patient and the skin should be checked for:skin integrity in areas of pressurecolour changes or discolorationHealthcare professionals should be aware that non-blanchable erythema may present as colour changes or discolouration, particularly in darker skin tones or types.variations in heat, firmness and moisture (for example, because of incontinence, oedema, dry or inflamed skin).",LLM,Completely,Completely
realmedqa_38,What exactly is the Norton risk-adjustment scale?,"Reassess pressure ulcer risk if there is a change in clinical status (for example, after surgery, on worsening of an underlying condition or with a change in mobility).Skin assessment","Reassess pressure ulcer risk if there is a change in clinical status (for example, after surgery, on worsening of an underlying condition or with a change in mobility).Skin assessment",LLM,Completely,Not at all
realmedqa_39,What treatment should be used for severe oesophagitis if first line treatment is ineffective?,"If initial treatment for healing severe oesophagitis fails, consider a high dose of the initial PPI, switching to another full-dose PPI (see table 2) or switching to another high-dose PPI (see table 2 in appendix A), taking into account the person's preference and clinical circumstances (for example, tolerability of the initial PPI, underlying health conditions and possible interactions with other drugs). [new 2014]","If initial treatment for healing severe oesophagitis fails, consider a high dose of the initial PPI, switching to another full-dose PPI (see table 2) or switching to another high-dose PPI (see table 2 in appendix A), taking into account the person's preference and clinical circumstances (for example, tolerability of the initial PPI, underlying health conditions and possible interactions with other drugs). [new 2014]",LLM,Completely,Completely
realmedqa_40,What are the difficulties to receiving services for borderline personality disorder that black and minority ethnic populations face?,Ensure that people with borderline personality disorder from black and minority ethnic groups have equal access to culturally appropriate services based on clinical need.,Ensure that people with borderline personality disorder from black and minority ethnic groups have equal access to culturally appropriate services based on clinical need.,LLM,Partially,Not at all
realmedqa_41,Can ER and HER2 receptors indicate disease progress in breast cancer?,"On recurrence, consider reassessing oestrogen receptor (ER) and human epidermal growth factor 2 receptor (HER2) status if a change in receptor status will lead to a change in management. [2017]Monitoring disease status","On recurrence, consider reassessing oestrogen receptor (ER) and human epidermal growth factor 2 receptor (HER2) status if a change in receptor status will lead to a change in management. [2017]Monitoring disease status",LLM,Completely,Not at all
realmedqa_42,"If a patient is already on diuretics for acute heart failure, how should management proceed?","For people already taking a diuretic, consider a higher dose of diuretic than that on which the person was admitted unless there are serious concerns with patient adherence to diuretic therapy before admission.","For people already taking a diuretic, consider a higher dose of diuretic than that on which the person was admitted unless there are serious concerns with patient adherence to diuretic therapy before admission.",LLM,Completely,Completely
realmedqa_43,5) What measures may be utilised to ensure that risk management plans are prepared collaboratively with the person suffering from borderline personality disorder?,"When managing the risks posed by people with borderline personality disorder in a community mental health service, risks should be managed by the whole multidisciplinary team with good supervision arrangements, especially for less experienced team members. Be particularly cautious when:evaluating risk if the person is not well known to the team there have been frequent suicidal crises.","When managing the risks posed by people with borderline personality disorder in a community mental health service, risks should be managed by the whole multidisciplinary team with good supervision arrangements, especially for less experienced team members. Be particularly cautious when:evaluating risk if the person is not well known to the team there have been frequent suicidal crises.",LLM,Not at all,Completely
realmedqa_44,How long should you trial hydrolysed protein formula in 6-8 week olds?,Healthcare professionals should offer a 6- to 8-week trial of an extensively hydrolysed protein formula or amino acid formula in place of cow's milk formula for bottle-fed infants aged under 6 months with moderate or severe atopic eczema that has not been controlled by optimal treatment with emollients and mild topical corticosteroids.,Healthcare professionals should offer a 6- to 8-week trial of an extensively hydrolysed protein formula or amino acid formula in place of cow's milk formula for bottle-fed infants aged under 6 months with moderate or severe atopic eczema that has not been controlled by optimal treatment with emollients and mild topical corticosteroids.,LLM,Completely,Completely
realmedqa_45,How frequently should community-dwelling persons receiving parenteral nourishment be examined and supervised by home care professionals and competent hospital teams?,"People having oral nutrition support and/or enteral tube feeding in the community should be monitored by healthcare professionals with the relevant skills and training in nutritional monitoring. This group of people should be monitored every 3 to 6 months or more frequently if there is any change in their clinical condition. A limited number of observations and tests from table 1 should be performed. Some of the clinical observations may be checked by patients or carers. If clinical progress is satisfactory, laboratory tests are rarely needed.","People having oral nutrition support and/or enteral tube feeding in the community should be monitored by healthcare professionals with the relevant skills and training in nutritional monitoring. This group of people should be monitored every 3 to 6 months or more frequently if there is any change in their clinical condition. A limited number of observations and tests from table 1 should be performed. Some of the clinical observations may be checked by patients or carers. If clinical progress is satisfactory, laboratory tests are rarely needed.",LLM,Completely,Completely
realmedqa_46,What is first line with patients with ER-positive breast cancer?,Offer ovarian suppression to premenopausal and perimenopausal women who have previously been treated with tamoxifen and then experience disease progression. [2009],Offer ovarian suppression to premenopausal and perimenopausal women who have previously been treated with tamoxifen and then experience disease progression. [2009],LLM,Completely,Partially
realmedqa_47,What can determine severity of an anaphylactic reaction?,"After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.","After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.",LLM,Completely,Partially
realmedqa_48,"- If an increase in dietary fibre is advised, what type of fibre should be recommended?",People with IBS who choose to try probiotics should be advised to take the product for at least 4 weeks while monitoring the effect. Probiotics should be taken at the dose recommended by the manufacturer. [2008],People with IBS who choose to try probiotics should be advised to take the product for at least 4 weeks while monitoring the effect. Probiotics should be taken at the dose recommended by the manufacturer. [2008],LLM,Completely,Not at all
realmedqa_49,1) Could you inform me about the current initiatives implemented to encourage healthy food and drink choices in our on-site catering services?,"In their role as employers, NHS organisations should set an example in developing public health policies to prevent and manage obesity by following existing guidance and (in England) the local obesity strategy. In particular:on-site catering should promote healthy food and drink choices (for example by signs, posters, pricing and positioning of products) there should be policies, facilities and information that promote physical activity, for example, through travel plans, by providing showers and secure cycle parking and by using signposting and improved décor to encourage stair use.","In their role as employers, NHS organisations should set an example in developing public health policies to prevent and manage obesity by following existing guidance and (in England) the local obesity strategy. In particular:on-site catering should promote healthy food and drink choices (for example by signs, posters, pricing and positioning of products) there should be policies, facilities and information that promote physical activity, for example, through travel plans, by providing showers and secure cycle parking and by using signposting and improved décor to encourage stair use.",LLM,Not at all,Completely
realmedqa_50,How soon after changing a stable angina drug treatment should it be reviewed?,Titrate the drug dosage against the person's symptoms up to the maximum tolerable dosage.,Titrate the drug dosage against the person's symptoms up to the maximum tolerable dosage.,LLM,Completely,Not at all
realmedqa_51,How can healthcare workers detect people who are at risk of acquiring pressure ulcers?,"Carry out and document an assessment of pressure ulcer risk for adults:being admitted to secondary care or care homes in which NHS care is provided orreceiving NHS care in other settings (such as primary and community care and emergency departments) if they have a risk factor, for example:significantly limited mobility (for example, people with a spinal cord injury)significant loss of sensationa previous or current pressure ulcernutritional deficiencythe inability to reposition themselvessignificant cognitive impairment.","Carry out and document an assessment of pressure ulcer risk for adults:being admitted to secondary care or care homes in which NHS care is provided orreceiving NHS care in other settings (such as primary and community care and emergency departments) if they have a risk factor, for example:significantly limited mobility (for example, people with a spinal cord injury)significant loss of sensationa previous or current pressure ulcernutritional deficiencythe inability to reposition themselvessignificant cognitive impairment.",LLM,Completely,Completely
realmedqa_52,How to assess for dehydration in patients?,"Assess for hypoxia and optimise oxygen saturation if necessary, as clinically appropriate.Be aware that some pulse oximeters can underestimate or overestimate oxygen saturation levels, especially if the saturation level is borderline. Overestimation has been reported in people with dark skin. See also the NHS England Patient Safety Alert on the risk of harm from inappropriate placement of pulse oximeter probes. [2010]","Assess for hypoxia and optimise oxygen saturation if necessary, as clinically appropriate.Be aware that some pulse oximeters can underestimate or overestimate oxygen saturation levels, especially if the saturation level is borderline. Overestimation has been reported in people with dark skin. See also the NHS England Patient Safety Alert on the risk of harm from inappropriate placement of pulse oximeter probes. [2010]",LLM,Completely,Not at all
realmedqa_53,"2) Have you used contraception before? If so, what type(s)?",Healthcare professionals should supply an interim method of contraception at first appointment if required.,Healthcare professionals should supply an interim method of contraception at first appointment if required.,LLM,Not at all,Not at all
realmedqa_54,What are the fundamental concepts for assessing people with borderline personality disorder?,Principles for assessment,Principles for assessment,LLM,Not at all,Not at all
realmedqa_55,What techniques may be used within the network of care to enhance good communication and integrated teamwork?,"The network of care should provide access to a team of healthcare professionals experienced in the care of children and young people with spasticity. The network team should provide local expertise in paediatrics, nursing, physiotherapy and occupational therapy. Access to other expertise, including orthotics, orthopaedic surgery and/or neurosurgery and paediatric neurology, may be provided locally or regionally.","The network of care should provide access to a team of healthcare professionals experienced in the care of children and young people with spasticity. The network team should provide local expertise in paediatrics, nursing, physiotherapy and occupational therapy. Access to other expertise, including orthotics, orthopaedic surgery and/or neurosurgery and paediatric neurology, may be provided locally or regionally.",LLM,Not at all,Completely
realmedqa_56,- What types of milk proteins should be avoided in children with suspected cow's milk allergy and atopic eczema?,"Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.","Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.",LLM,Completely,Completely
realmedqa_57,- what interventions are recommended for patients that have not not improved after education and active monitoring in primary care?,"Follow the stepped-care model, offering the least intrusive, most effective intervention first. [2011]The stepped-care modelFocus of the interventionNature of the interventionSTEP 4: Complex treatment-refractory generalised anxiety disorder (GAD) and very marked functional impairment, such as self-neglect or a high risk of self-harm Highly specialist treatment, such as complex drug and/or psychological treatment regimens; input from multi-agency teams, crisis services, day hospitals or inpatient careSTEP 3: GAD with an inadequate response to step 2 interventions or marked functional impairmentChoice of a high-intensity psychological intervention (cognitive behavioural therapy [CBT]/applied relaxation) or a drug treatmentSTEP 2: Diagnosed GAD that has not improved after education and active monitoring in primary care Low-intensity psychological interventions: individual non-facilitated self-help, individual guided self-help and psychoeducational groups STEP 1: All known and suspected presentations of GADIdentification and assessment; education about GAD and treatment options; active monitoring Individual non-facilitated self-help: this is a self-administered intervention intended to treat GAD involving written or electronic self-help materials (usually a book or workbook). It is similar to individual guided self-help but usually with minimal therapist contact, for example an occasional short telephone call of no more than 5 minutes. Step 1: All known and suspected presentations of GADSee also the section on identification and assessment in the NICE guideline on common mental health problems.Identification","Follow the stepped-care model, offering the least intrusive, most effective intervention first. [2011]The stepped-care modelFocus of the interventionNature of the interventionSTEP 4: Complex treatment-refractory generalised anxiety disorder (GAD) and very marked functional impairment, such as self-neglect or a high risk of self-harm Highly specialist treatment, such as complex drug and/or psychological treatment regimens; input from multi-agency teams, crisis services, day hospitals or inpatient careSTEP 3: GAD with an inadequate response to step 2 interventions or marked functional impairmentChoice of a high-intensity psychological intervention (cognitive behavioural therapy [CBT]/applied relaxation) or a drug treatmentSTEP 2: Diagnosed GAD that has not improved after education and active monitoring in primary care Low-intensity psychological interventions: individual non-facilitated self-help, individual guided self-help and psychoeducational groups STEP 1: All known and suspected presentations of GADIdentification and assessment; education about GAD and treatment options; active monitoring Individual non-facilitated self-help: this is a self-administered intervention intended to treat GAD involving written or electronic self-help materials (usually a book or workbook). It is similar to individual guided self-help but usually with minimal therapist contact, for example an occasional short telephone call of no more than 5 minutes. Step 1: All known and suspected presentations of GADSee also the section on identification and assessment in the NICE guideline on common mental health problems.Identification",LLM,Partially,Completely
realmedqa_58,"In this context, what is the definition of malnutrition and those at risk of malnutrition?","Healthcare professionals should consider oral nutrition support to improve nutritional intake for people who can swallow safely and are malnourished or at risk of malnutrition, as defined in","Healthcare professionals should consider oral nutrition support to improve nutritional intake for people who can swallow safely and are malnourished or at risk of malnutrition, as defined in",LLM,Not at all,Not at all
realmedqa_59,3) Is there any possible damage or danger in doing unneeded microbiological testing on individuals with mild pneumonia?,Do not routinely offer microbiological tests to patients with low‑severity community‑acquired pneumonia.,Do not routinely offer microbiological tests to patients with low‑severity community‑acquired pneumonia.,LLM,Partially,Not at all
realmedqa_60,"2) Have you experienced any abdominal pain, nausea, or vomiting?",Do not use the albumin/bilirubin ratio when making decisions about the management of hyperbilirubinaemia. [2010],Do not use the albumin/bilirubin ratio when making decisions about the management of hyperbilirubinaemia. [2010],LLM,Not at all,Not at all
realmedqa_61,1) What collaborations have local governments formed with business and non-profit organisations to build and administer safe venues for physical activity?,"Local authorities should work with local partners, such as industry and voluntary organisations, to create and manage more safe spaces for incidental and planned physical activity, addressing as a priority any concerns about safety, crime and inclusion, by: providing facilities such as cycling and walking routes, cycle parking, area maps and safe play areasmaking streets cleaner and safer, through measures such as traffic calming, congestion charging, pedestrian crossings, cycle routes, lighting and walking schemesensuring buildings and spaces are designed to encourage people to be more physically active (for example, through positioning and signing of stairs, entrances and walkways)considering in particular people who require tailored information and support, especially inactive, vulnerable groups.","Local authorities should work with local partners, such as industry and voluntary organisations, to create and manage more safe spaces for incidental and planned physical activity, addressing as a priority any concerns about safety, crime and inclusion, by: providing facilities such as cycling and walking routes, cycle parking, area maps and safe play areasmaking streets cleaner and safer, through measures such as traffic calming, congestion charging, pedestrian crossings, cycle routes, lighting and walking schemesensuring buildings and spaces are designed to encourage people to be more physically active (for example, through positioning and signing of stairs, entrances and walkways)considering in particular people who require tailored information and support, especially inactive, vulnerable groups.",LLM,Not at all,Completely
